year,boat_group,anchor_rate
2015,High boat pressure,0.42857142857142855
2015,Low boat pressure,0.09090909090909091
2016,High boat pressure,0.6428571428571429
2016,Low boat pressure,0.23076923076923078
2017,High boat pressure,0.8571428571428571
2017,Low boat pressure,0.08333333333333333
2018,High boat pressure,0.6428571428571429
2018,Low boat pressure,0.3333333333333333
2019,High boat pressure,0.6428571428571429
2019,Low boat pressure,0.0
2020,High boat pressure,0.3333333333333333
2020,Low boat pressure,0.0
2021,High boat pressure,0.4166666666666667
2021,Low boat pressure,0.2
2022,High boat pressure,0.6428571428571429
2022,Low boat pressure,0.23076923076923078
2023,High boat pressure,0.6428571428571429
2023,Low boat pressure,0.23076923076923078
2024,High boat pressure,0.6923076923076923
2024,Low boat pressure,0.4166666666666667
2025,High boat pressure,0.5833333333333334
2025,Low boat pressure,0.4166666666666667
