year,region,mean_cover
2015,Peninsular east,58.58222222222222
2015,Peninsular west,46.99333333333333
2015,Sabah,39.72875
2015,Sarawak,57.709999999999994
2016,Peninsular east,56.31444444444444
2016,Peninsular west,54.77
2016,Sabah,34.69357142857143
2016,Sarawak,43.65
2017,Peninsular east,52.24454545454546
2017,Peninsular west,47.05666666666667
2017,Sabah,34.567142857142855
2017,Sarawak,54.9
2018,Peninsular east,51.21083333333333
2018,Peninsular west,35.873333333333335
2018,Sabah,32.365833333333335
2018,Sarawak,46.98
2019,Peninsular east,49.842727272727274
2019,Peninsular west,43.833333333333336
2019,Sabah,31.220000000000002
2019,Sarawak,50.93
2020,Peninsular east,46.083636363636366
2020,Peninsular west,49.81
2020,Sabah,34.32818181818182
2021,Peninsular east,48.446666666666665
2021,Peninsular west,43.81333333333333
2021,Sabah,39.16
2022,Peninsular east,53.3
2022,Peninsular west,43.65
2022,Sabah,41.014
2022,Sarawak,48.59
2023,Peninsular east,53.40909090909091
2023,Peninsular west,48.60833333333333
2023,Sabah,36.489333333333335
2023,Sarawak,45.16
2024,Peninsular east,50.48954545454546
2024,Peninsular west,40.936
2024,Sabah,37.03785714285714
2025,Peninsular east,44.88727272727272
2025,Peninsular west,36.47333333333333
2025,Sabah,33.053333333333335
2015,All sites,47.309999999999995
2016,All sites,44.46296296296296
2017,All sites,43.265517241379314
2018,All sites,41.339999999999996
2019,All sites,42.153333333333336
2020,All sites,41.3584
2021,All sites,43.63857142857143
2022,All sites,47.55813953488372
2023,All sites,46.79886363636364
2024,All sites,44.731219512195125
2025,All sites,39.8185
