island,region,changes,heat_changes,calm_change_sum,heat_change_sum,calm_change_per_survey,heat_change_per_survey,median_sites,boat_group,net_change,pattern,low_reliability
Redang,Peninsular east,11.0,2.0,-23.5,-8.74,-2.611111111111111,-4.37,12.0,High boat pressure,-32.24,Losses mainly in calm years (local action worthwhile),False
Labuan,Sabah,6.0,2.0,0.9199999999999995,-32.92,0.22999999999999987,-16.46,4.0,Low boat pressure,-32.0,Losses mainly after heat (thermal),False
Tunku Abdul Rahman Park,Sabah,9.0,6.0,-9.720000000000002,-15.62,-3.2400000000000007,-2.603333333333333,8.0,Low boat pressure,-25.340000000000003,Losses mainly after heat (thermal),False
Usukan Cove,Sabah,11.0,7.0,6.140000000000002,-28.64,1.5350000000000006,-4.091428571428572,6.0,High boat pressure,-22.5,Losses mainly after heat (thermal),False
Perhentian,Peninsular east,11.0,2.0,-5.0,-16.18,-0.5555555555555556,-8.09,10.0,High boat pressure,-21.18,Losses mainly after heat (thermal),False
Mantanani,Sabah,11.0,7.0,-8.639999999999999,-12.11,-2.1599999999999997,-1.73,12.0,High boat pressure,-20.75,Losses mainly after heat (thermal),False
Tioman,Peninsular east,11.0,2.0,-9.0,-8.41,-1.0,-4.205,18.0,High boat pressure,-17.41,Losses mainly in calm years (local action worthwhile),False
Pemanggil,Peninsular east,11.0,2.0,-9.530000000000001,-0.79,-1.058888888888889,-0.395,4.0,Low boat pressure,-10.32,Losses mainly in calm years (local action worthwhile),False
Tinggi,Peninsular east,11.0,2.0,-5.4700000000000015,-3.9099999999999997,-0.607777777777778,-1.9549999999999998,4.0,Low boat pressure,-9.38,Losses mainly in calm years (local action worthwhile),False
Aur & Dayang,Peninsular east,7.0,1.0,-6.550000000000001,-2.61,-1.0916666666666668,-2.61,6.0,,-9.16,Losses mainly in calm years (local action worthwhile),False
Tiga,Sabah,8.0,5.0,3.66,-11.72,1.22,-2.3440000000000003,7.0,Low boat pressure,-8.06,Losses mainly after heat (thermal),False
Mataking,Sabah,10.0,6.0,27.29,-34.83,6.8225,-5.805,6.0,High boat pressure,-7.539999999999999,Losses mainly after heat (thermal),False
Bidong & Yu,Peninsular east,11.0,2.0,9.7,-16.259999999999998,1.0777777777777777,-8.129999999999999,6.0,High boat pressure,-6.559999999999999,Losses mainly after heat (thermal),False
Sembilan,Peninsular west,9.0,1.0,1.7199999999999998,-7.64,0.21499999999999997,-7.64,9.0,High boat pressure,-5.92,Losses mainly after heat (thermal),False
Sipadan,Sabah,10.0,7.0,-7.44,2.25,-2.48,0.32142857142857145,12.0,Low boat pressure,-5.19,Losses mainly in calm years (local action worthwhile),False
Kapas,Peninsular east,11.0,2.0,-9.24,4.99,-1.0266666666666666,2.495,5.0,High boat pressure,-4.25,Losses mainly in calm years (local action worthwhile),False
Pangkor Laut,Peninsular west,9.0,1.0,18.759999999999998,-22.5,2.3449999999999998,-22.5,1.0,Low boat pressure,-3.740000000000002,Losses mainly after heat (thermal),True
Penyu,Sabah,9.0,6.0,-24.06,20.37,-8.02,3.395,9.0,Low boat pressure,-3.6899999999999977,Losses mainly in calm years (local action worthwhile),False
Lahad Datu,Sabah,11.0,7.0,-9.200000000000001,9.040000000000001,-2.3000000000000003,1.2914285714285716,15.0,Low boat pressure,-0.16000000000000014,Losses mainly in calm years (local action worthwhile),False
Tenggol,Peninsular east,11.0,2.0,10.93,-10.3,1.2144444444444444,-5.15,6.0,High boat pressure,0.629999999999999,Stable or gaining,False
Tun Sakaran Marine Park,Sabah,10.0,7.0,3.26,-1.8900000000000006,1.0866666666666667,-0.2700000000000001,12.0,Low boat pressure,1.3699999999999992,Stable or gaining,False
Payar,Peninsular west,10.0,2.0,1.7100000000000009,0.16000000000000014,0.2137500000000001,0.08000000000000007,5.0,Low boat pressure,1.870000000000001,Stable or gaining,False
Lankayan,Sabah,11.0,7.0,1.3399999999999999,3.4099999999999993,0.33499999999999996,0.48714285714285704,15.0,Low boat pressure,4.749999999999999,Stable or gaining,False
Rawa,Peninsular east,6.0,1.0,12.78,-7.68,2.556,-7.68,6.0,Low boat pressure,5.1,Stable or gaining,False
Sibu,Peninsular east,11.0,2.0,8.96,-2.8099999999999996,0.9955555555555556,-1.4049999999999998,6.0,High boat pressure,6.150000000000001,Stable or gaining,False
Mabul,Sabah,10.0,6.0,-4.11,10.54,-1.0275,1.7566666666666666,6.0,High boat pressure,6.429999999999999,Stable or gaining,False
Kapalai,Sabah,10.0,6.0,2.79,4.27,0.6975,0.7116666666666666,5.5,High boat pressure,7.06,Stable or gaining,False
Besar,Peninsular east,5.0,1.0,7.24,0.63,1.81,0.63,7.0,,7.87,Stable or gaining,False
