year,station,peak_dhw
2010,sabah,6.68
2011,sabah,0.6371
2012,sabah,2.2029
2013,sabah,1.8757
2014,sabah,5.1657
2015,sabah,3.6843
2016,sabah,10.52
2017,sabah,6.7014
2018,sabah,1.71
2019,sabah,7.7386
2020,sabah,7.8657
2021,sabah,2.1757
2022,sabah,0.9214
2023,sabah,8.7029
2024,sabah,11.3971
2025,sabah,4.0371
2026,sabah,13.4171
2010,singapore,8.1514
2011,singapore,0.3171
2012,singapore,0.1486
2013,singapore,1.3171
2014,singapore,1.4657
2015,singapore,0.0
2016,singapore,7.2471
2017,singapore,0.0
2018,singapore,0.1457
2019,singapore,0.3043
2020,singapore,0.91
2021,singapore,0.1643
2022,singapore,0.3343
2023,singapore,1.1971
2024,singapore,9.4371
2025,singapore,1.8771
2026,singapore,4.4357
2010,malacca_strait,10.7486
2011,malacca_strait,0.0
2012,malacca_strait,0.0
2013,malacca_strait,2.69
2014,malacca_strait,1.2014
2015,malacca_strait,0.6329
2016,malacca_strait,11.3443
2017,malacca_strait,0.1457
2018,malacca_strait,0.3243
2019,malacca_strait,3.4514
2020,malacca_strait,3.4229
2021,malacca_strait,1.5614
2022,malacca_strait,0.1457
2023,malacca_strait,3.2586
2024,malacca_strait,13.6371
2025,malacca_strait,1.94
2026,malacca_strait,9.0129
2010,northern_borneo,2.5943
2011,northern_borneo,0.0
2012,northern_borneo,0.9771
2013,northern_borneo,1.8543
2014,northern_borneo,1.2357
2015,northern_borneo,1.1886
2016,northern_borneo,1.7857
2017,northern_borneo,1.9729
2018,northern_borneo,1.2657
2019,northern_borneo,0.0
2020,northern_borneo,0.1843
2021,northern_borneo,0.9657
2022,northern_borneo,0.5914
2023,northern_borneo,2.6214
2024,northern_borneo,6.84
2025,northern_borneo,3.32
2026,northern_borneo,5.2686
