island,state,priority_rank,priority_tier,visitors_per_year,spending_rm,reef_adjacent_rm,basis,source_name,source_url
Tunku Abdul Rahman Park,Sabah,33,Monitor,497199,203964373,20396437,"497,199 visitors reported for full year 2024",Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/tunku-abdul-rahman-park
Redang,Terengganu,31,Monitor,212432,87145102,8714510,"141,621 visitors reported for Jan-Aug 2024, annualised to 212,432","Terengganu State Tourism Department (state tourism director, reported 26 September 2024)",https://malaysia.news.yahoo.com/tourist-arrivals-rise-terengganu-islands-050917502.html
Perhentian,Terengganu,32,Monitor,165387,67846186,6784619,"110,258 visitors reported for Jan-Aug 2024, annualised to 165,387","Terengganu State Tourism Department (state tourism director, reported 26 September 2024)",https://malaysia.news.yahoo.com/tourist-arrivals-rise-terengganu-islands-050917502.html
Tun Sakaran Marine Park,Sabah,12,Monitor,100369,41174057,4117406,"100,369 visitors reported for full year 2024",Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/tun-sakaran-marine-park
Kapas,Terengganu,2,High screening priority,83162,34115079,3411508,"55,441 visitors reported for Jan-Aug 2024, annualised to 83,162","Terengganu State Tourism Department (state tourism director, reported 26 September 2024)",https://malaysia.news.yahoo.com/tourist-arrivals-rise-terengganu-islands-050917502.html
Sipadan,Sabah,11,Monitor,36719,15063119,1506312,"36,719 visitors reported for full year 2024",Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/sipadan-island-park
Lang Tengah,Terengganu,35,Monitor,23487,9634998,963500,"15,658 visitors reported for Jan-Aug 2024, annualised to 23,487","Terengganu State Tourism Department (state tourism director, reported 26 September 2024)",https://malaysia.news.yahoo.com/tourist-arrivals-rise-terengganu-islands-050917502.html
Penyu,Sabah,18,Monitor,10333,4238874,423887,"10,333 visitors reported for full year 2024",Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/turtle-islands-park
Tenggol,Terengganu,6,High screening priority,5193,2130308,213031,"3,462 visitors reported for Jan-Aug 2024, annualised to 5,193","Terengganu State Tourism Department (state tourism director, reported 26 September 2024)",https://malaysia.news.yahoo.com/tourist-arrivals-rise-terengganu-islands-050917502.html
Tiga,Sabah,29,Monitor,4110,1686032,168603,"4,110 visitors reported for full year 2024",Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/pulau-tiga-park
Bidong & Yu,Terengganu,37,Monitor,4008,1644189,164419,"2,672 visitors reported for Jan-Aug 2024, annualised to 4,008","Terengganu State Tourism Department (state tourism director, reported 26 September 2024)",https://malaysia.news.yahoo.com/tourist-arrivals-rise-terengganu-islands-050917502.html
