park,state,visitors_per_year,spending_rm,reef_adjacent_rm,basis,units,high_priority_units,source_name,source_url
Tunku Abdul Rahman Park,Sabah,497199,203964373,20396437,2024 full year,Tunku Abdul Rahman Park,,Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/tunku-abdul-rahman-park
Terengganu Marine Parks,Terengganu,275295,112933233,11293323,2013-2017 average,Bidong & Yu; Kapas; Lang Tengah; Perhentian; Redang; Rhu; Tenggol,Kapas; Tenggol,Department of Marine Park Malaysia / data.gov.my,https://archive.data.gov.my/data/en_US/organization/department-of-marine-park-malaysia
Mersing Marine Parks,Johor,208734,85628288,8562829,2013-2017 average,Aur & Dayang; Besar; Gual; Harimau; Hujung; Lima; Mensirip; Mertang; Pemanggil; Rawa; Sibu; Tengah; Tinggi,Lima; Mensirip; Mertang; Sibu; Tinggi,Department of Marine Park Malaysia / data.gov.my,https://archive.data.gov.my/data/en_US/organization/department-of-marine-park-malaysia
Tioman Marine Parks,Pahang,208695,85612454,8561245,2013-2017 average,Seri Buat; Tioman,Seri Buat,Department of Marine Park Malaysia / data.gov.my,https://archive.data.gov.my/data/en_US/organization/department-of-marine-park-malaysia
Pulau Payar Marine Park,Kedah,122124,50098542,5009854,2013-2017 average,Payar,,Department of Marine Park Malaysia / data.gov.my,https://archive.data.gov.my/data/en_US/organization/department-of-marine-park-malaysia
Tun Sakaran Marine Park,Sabah,100369,41174057,4117406,2024 full year,Larapan; Tun Sakaran Marine Park,,Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/tun-sakaran-marine-park
Sipadan Island Park,Sabah,36719,15063119,1506312,2024 full year,Sipadan,,Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/sipadan-island-park
Turtle Islands Park,Sabah,10333,4238874,423887,2024 full year,Penyu,,Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/turtle-islands-park
Pulau Tiga Park,Sabah,4110,1686032,168603,2024 full year,Tiga,,Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/pulau-tiga-park
Labuan Marine Park,Labuan,1192,488785,48879,2016-2017 average,Labuan,Labuan,Department of Marine Park Malaysia / data.gov.my,https://archive.data.gov.my/data/en_US/organization/department-of-marine-park-malaysia
