island,baseline_pp,Starting condition & trend,Herbivory & fish,Anchors & nets,Pollution & waste,Disturbance & substrate,Crown-of-thorns,Bleaching reported,Region & survey year,top_stressor,top_stressor_pp,insight
Aur & Dayang,-0.8985775862068965,1.11808694714441,-0.236915367659316,0.0,0.31261920877871746,-0.039974537073742045,0.0,0.0,-2.171900124158064,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Besar,-0.8985775862068965,0.7829253760781294,-0.2111385814753432,0.0,0.31261920877871746,-0.039974537073742045,0.0,0.0,-2.1578526067636457,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Gual,-0.8985775862068965,0.0426079014910721,-0.25252343428454693,0.0,0.31261920877871746,0.04540490384960392,0.0,0.0,-2.0895270208388075,Herbivory & fish,-0.25252343428454693,Review fishing pressure on grazing fish
Harimau,-0.8985775862068965,-0.12609640388525364,-0.019021591036781915,0.0,-0.2250711044061571,0.04540490384960392,0.0,0.0,-1.9260928992442554,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Hujung,-0.8985775862068965,1.11808694714441,-0.30495711576448165,0.0,-0.008054136496670927,-0.039974537073742045,0.0,0.0,-2.171900124158064,Herbivory & fish,-0.30495711576448165,Review fishing pressure on grazing fish
Lima,-0.8985775862068965,-2.247882320709498,-0.019021591036781915,0.0,0.5058560126302101,0.04540490384960392,0.0,0.0,-1.7587772877196757,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Mensirip,-0.8985775862068965,-2.1194258886628017,-0.08664877863285486,0.0,-0.03183430055466442,0.04540490384960392,0.0,0.0,-1.7587772877196757,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Mertang,-0.8985775862068965,-1.8788258879201836,-0.019319002575934136,0.0,0.5058560126302101,-0.9769701485280178,0.0,0.0,-1.7587772877196757,Disturbance & substrate,-0.9769701485280178,Survey physical reef damage
Pemanggil,-0.8985775862068965,0.4373124047959029,-0.040872758605842496,0.0,0.31261920877871746,0.013503459361639665,0.0,0.0,-2.0895270208388075,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Rawa,-0.8985775862068965,-0.36669640462787156,0.24848373383350952,0.0,-0.008054136496670927,0.04540490384960392,0.0,0.0,-1.9260928992442554,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Sibu,-0.8985775862068965,-2.4545874597290815,0.2104622216579991,0.0,0.5058560126302101,0.04540490384960392,0.0,0.0,-1.7447297703252571,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Tengah,-0.8985775862068965,-0.19799209925154584,-0.1970371359805513,0.0,0.31261920877871746,0.04540490384960392,0.0,0.0,-2.0895270208388075,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Tinggi,-0.8985775862068965,-2.488482321452116,-0.030651005082727056,0.0,0.5058560126302101,0.04540490384960392,0.0,0.0,-1.7587772877196757,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Payar,-0.8985775862068965,-0.19799209925154584,-0.2081550747803642,0.0,-0.2250711044061571,0.04540490384960392,0.0,0.0,-1.269130703857079,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Malacca,-0.8985775862068965,2.1882290442028713,4.375150840926436,0.11138411302950832,0.3088284711481551,0.01482129035245823,0.0,0.0,-2.616295742533257,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Port Dickson,-0.8985775862068965,1.11808694714441,-0.2603746925533189,0.0,0.31261920877871746,0.01482129035245823,0.0,0.0,-2.3117072826276903,Herbivory & fish,-0.2603746925533189,Review fishing pressure on grazing fish
Seri Buat,-0.8985775862068965,-2.1194258886628017,-0.3914927244179274,0.0,-0.03183430055466442,0.04540490384960392,0.0,0.0,-1.7587772877196757,Herbivory & fish,-0.3914927244179274,Review fishing pressure on grazing fish
Tioman,-0.8985775862068965,1.3586869478870278,-0.2487452785073738,0.0,0.31261920877871746,0.01482129035245823,0.0,0.0,-2.171900124158064,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Kapalai,-0.8985775862068965,2.7076930172404117,0.41198044714294507,0.11138411302950832,-0.22886184203671947,0.3943145565202619,0.0,0.0,-1.727841413040304,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Labuan,-0.8985775862068965,2.67235734586363,-0.30256210934862854,-0.24504504866491822,-13.640499789756872,-0.039974537073742045,0.0,0.0,-1.9629865243929814,Pollution & waste,-13.640499789756872,Inspect wastewater and waste controls
Lahad Datu,-0.8985775862068965,-0.5331536703178263,-0.10836501341079,0.0,-0.008054136496670927,0.04540490384960392,0.0,0.0,-1.1729776565570167,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Lankayan,-0.8985775862068965,-2.4545874597290815,-0.23055847777884825,0.0,0.5058560126302101,0.04540490384960392,0.0,0.0,-1.0406009681380803,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Larapan,-0.8985775862068965,-2.1194258886628017,-0.11235798550169082,0.0,0.5058560126302101,0.04540490384960392,0.0,0.0,-0.8562754408323038,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Mabul,-0.8985775862068965,2.2693456419361375,1.2650944161107691,0.11138411302950832,0.05022179031485002,-0.01810781653452023,0.0,0.0,-2.810113514837819,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Mantanani,-0.8985775862068965,2.94829301798303,0.3561967372997973,-0.24504504866491822,0.3088284711481551,0.01482129035245823,0.0,0.0,-2.6303432599276757,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Mataking,-0.8985775862068965,2.372531446174131,-0.6865843159880622,0.11138411302950832,-0.22886184203671947,0.01482129035245823,0.0,0.0,-1.7137938956458854,Herbivory & fish,-0.6865843159880622,Review fishing pressure on grazing fish
Penyu,-0.8985775862068965,-0.5331536703178263,-0.047518239680437266,0.0,-0.008054136496670927,0.1002007312758042,0.0,0.0,-1.371350701257212,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Sipadan,-0.8985775862068965,-2.1194258886628017,-0.2003374904126932,0.0,-0.03183430055466442,0.04540490384960392,0.0,0.0,-0.8562754408323038,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Tiga,-0.8985775862068965,2.372531446174131,-0.5452611506169103,0.11138411302950832,-0.011844874127233269,0.01482129035245823,0.0,0.0,-2.616295742533257,Herbivory & fish,-0.5452611506169103,Review fishing pressure on grazing fish
Tun Mustapha Park,-0.8985775862068965,-0.19799209925154584,-0.1524547127693886,0.0,0.31261920877871746,0.1002007312758042,0.0,0.0,-1.565626689645594,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Tun Sakaran Marine Park,-0.8985775862068965,-2.1194258886628017,-0.11235798550169082,0.0,-0.03183430055466442,0.04540490384960392,0.0,0.0,-0.8562754408323038,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Tunku Abdul Rahman Park,-0.8985775862068965,2.372531446174131,-0.15289783743732507,0.11138411302950832,0.3088284711481551,0.01482129035245823,0.0,0.0,-2.8146687872334524,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Usukan Cove,-0.8985775862068965,2.94829301798303,-2.03053187067517,0.11138411302950832,0.3088284711481551,0.01482129035245823,0.0,0.0,-2.6303432599276757,Herbivory & fish,-2.03053187067517,Review fishing pressure on grazing fish
Bidong & Yu,-0.8985775862068965,0.12372449922433856,3.3715911950389903,0.0,0.05401252794541239,0.060356739698665396,0.0,0.0,-3.325653798500367,"",0.0,No measured stressor drives this prediction; verify in the field before acting
Kapas,-0.8985775862068965,-2.8236438925183958,-0.297674190128789,0.0,-0.03183430055466442,0.04540490384960392,0.0,0.0,-1.7447297703252571,Herbivory & fish,-0.297674190128789,Review fishing pressure on grazing fish
Lang Tengah,-0.8985775862068965,2.94829301798303,-0.43808201214308173,0.11138411302950832,0.3088284711481551,-0.039974537073742045,0.0,0.0,-2.770150418397302,Herbivory & fish,-0.43808201214308173,Review fishing pressure on grazing fish
Perhentian,-0.8985775862068965,2.523390615269152,-0.3145539657339205,0.11138411302950832,0.3088284711481551,-0.039974537073742045,0.0,0.0,-2.770150418397302,Herbivory & fish,-0.3145539657339205,Review fishing pressure on grazing fish
Redang,-0.8985775862068965,2.7076930172404117,-0.5830819113559209,0.11138411302950832,0.3088284711481551,0.01482129035245823,0.0,0.0,-2.770150418397302,Herbivory & fish,-0.5830819113559209,Review fishing pressure on grazing fish
Rhu,-0.8985775862068965,2.372531446174131,-0.28907459108909994,0.11138411302950832,0.3088284711481551,0.01482129035245823,0.0,0.0,-2.8146687872334524,Herbivory & fish,-0.28907459108909994,Review fishing pressure on grazing fish
Tenggol,-0.8985775862068965,-2.1194258886628017,-0.4688654360346936,0.0,0.5058560126302101,0.1002007312758042,0.0,0.0,-1.7587772877196757,Herbivory & fish,-0.4688654360346936,Review fishing pressure on grazing fish
