island,survey_year,live_coral_cover_pct,lcc_change_rate,island_vs_region_pct,grp_available_substrate,grp_sand,grp_disturbance_indicators,grp_pollution_indicators,fish_butterflyfish,fish_snapper,fish_parrotfish,fish_grouper,inv_diadema_urchin,inv_crown_of_thorns,grazer_ratio,impact_anchor,impact_nets,impact_trash,impact_bleaching,impact_cot,latitude,longitude
Aur & Dayang,-1.9562876648832164,-0.18811934219835957,0.17623701593633662,1.1299692734064328,0.0,-0.02186672053922182,-0.01810781653452023,0.31261920877871746,0.06291908513653609,-0.19929211158171092,-0.0009964739662317434,-0.09954586724790943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
Besar,-1.9562876648832164,-0.18811934219835957,-0.14624160691743154,1.1172863251939205,0.0,-0.02186672053922182,-0.01810781653452023,0.31261920877871746,0.06291908513653609,-0.11704037131742182,-0.06903822207139738,-0.011629414045945155,-0.07634965917711495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04707283041873982,-0.24863777229916886
Gual,-1.8739145615639596,-0.1397510725211416,0.41498905403252107,-0.23263008002030736,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,0.31261920877871746,0.06291908513653609,-0.19929211158171092,-0.028233954637407785,-0.08791645320196428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
Harimau,-1.7104804399694078,-0.30845537789746735,0.41498905403252107,-0.23263008002030736,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,-0.2250711044061571,0.06291908513653609,-0.1432943380315831,-0.028233954637407785,-0.08791645320196428,0.17750406969763716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
Hujung,-1.9562876648832164,-0.18811934219835957,0.17623701593633662,1.1299692734064328,0.0,-0.02186672053922182,-0.01810781653452023,-0.008054136496670927,0.06291908513653609,-0.19929211158171092,-0.06903822207139738,-0.09954586724790943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
Lima,-1.543164828444828,-0.30845537789746735,0.49685297000816,-2.4362799128201904,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,0.5058560126302101,0.06291908513653609,-0.1432943380315831,-0.028233954637407785,-0.08791645320196428,0.17750406969763716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
Mensirip,-1.543164828444828,-0.3568236475746853,0.30462123894276,-2.067223480030876,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,-0.03183430055466442,0.06291908513653609,-0.19929211158171092,-0.028233954637407785,-0.09954586724790943,0.17750406969763716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
Mertang,-1.543164828444828,-0.30845537789746735,0.49685297000816,-2.067223480030876,-0.991791438880476,-0.02186672053922182,0.03668801089168005,0.5058560126302101,0.06291908513653609,-0.19929211158171092,0.02746640737356782,-0.08791645320196428,0.17750406969763716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
Pemanggil,-1.8739145615639596,-0.18811934219835957,0.1954542333166312,0.42997751367763126,0.05347799643538172,-0.02186672053922182,-0.01810781653452023,0.31261920877871746,0.06291908513653609,-0.19929211158171092,-0.08408860382899483,0.17958887166832715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
Rawa,-1.7104804399694078,-0.3568236475746853,0.22275732296712109,-0.23263008002030736,0.08537944092334597,-0.02186672053922182,-0.01810781653452023,-0.008054136496670927,0.06291908513653609,-0.1432943380315831,-0.028233954637407785,0.17958887166832715,0.17750406969763716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21561245927484768
