island,latitude,longitude,district,state,marine_park
Aur & Dayang,2.4481,104.5164,Mersing,Johor,Mersing Marine Park
Babi Tengah,2.4764,103.9614,Mersing,Johor,Mersing Marine Park
Balambangan,7.2347,116.9242,Kudat,Sabah,Tun Mustapha Park
Berungus,6.9531,117.0347,Kudat,Sabah,Tun Mustapha Park
Besar,2.4333,103.9667,Mersing,Johor,Mersing Marine Park
Bidong & Yu,5.6167,103.05,Kuala Nerus,Terengganu,Terengganu Marine Park
Gual,2.4719,104.0167,Mersing,Johor,Mersing Marine Park
Harimau,2.5083,103.9317,Mersing,Johor,Mersing Marine Park
Hujung,2.4833,103.9833,Mersing,Johor,Mersing Marine Park
Kapalai,4.225,118.6833,Semporna,Sabah,Non-Park Reef (Semporna)
Kapas,5.2167,103.2667,Marang,Terengganu,Terengganu Marine Park
Kota Belud,6.35,116.4333,Kota Belud,Sabah,West Coast Sabah Coastal
Kuching,1.9167,110.0833,Kuching,Sarawak,Talang-Satang National Park
Labuan,5.3167,115.2167,Labuan,W.P. Labuan,Labuan Marine Park
Lahad Datu,5.0167,118.3333,Lahad Datu,Sabah,Darvel Bay Reefs
Lang Tengah,5.7917,102.8917,Kuala Terengganu,Terengganu,Terengganu Marine Park
Lankayan,6.5028,117.9239,Beluran,Sabah,Sugud Islands Marine Conservation Area (SIMCA)
Larapan,4.5167,118.5833,Semporna,Sabah,Tun Sakaran Marine Park
Lima,2.2167,104.1667,Mersing,Johor,Mersing Marine Park
Mabul,4.2464,118.6294,Semporna,Sabah,Non-Park Reef (Semporna)
Malacca,2.05,102.3333,Melaka Tengah,Malacca,Pulau Besar / Pulau Undan Marine Park
Maliangin,7.0667,117.05,Kudat,Sabah,Tun Mustapha Park
Mantanani,6.7167,116.35,Kota Belud,Sabah,Mantanani Islands
Mataking,4.58,118.95,Semporna,Sabah,Non-Park Reef (Semporna)
Mataking & Pom Pom,4.59,118.88,Semporna,Sabah,Non-Park Reef (Semporna)
Mensirip,2.45,103.95,Mersing,Johor,Mersing Marine Park
Mertang,2.46,103.98,Mersing,Johor,Mersing Marine Park
Miri,4.3833,113.9667,Miri,Sarawak,Miri-Sibuti Coral Reefs National Park
Northern Semporna,4.6333,118.75,Semporna,Sabah,Semporna Archipelago
Pangkor Laut,4.1972,100.5472,Manjung,Perak,Non-Park Reef (Perak)
Payar,6.0639,100.0417,Yan,Kedah,Pulau Payar Marine Park
Pemanggil,2.5833,104.3167,Mersing,Johor,Mersing Marine Park
Penyu,6.1667,118.0667,Sandakan,Sabah,Turtle Islands National Park
Perhentian,5.9,102.7333,Besut,Terengganu,Terengganu Marine Park
Pom Pom,4.6,118.8667,Semporna,Sabah,Non-Park Reef (Semporna)
Port Dickson,2.4833,101.85,Port Dickson,Negeri Sembilan,Non-Park Fringing Reef
Rawa,2.5186,103.9747,Mersing,Johor,Mersing Marine Park
Redang,5.7667,103.0167,Kuala Nerus,Terengganu,Terengganu Marine Park
Rhu,5.8167,102.6167,Besut,Terengganu,Terengganu Marine Park
Sembilan,4.0167,100.55,Manjung,Perak,Pulau Sembilan State Park
Semporna,4.48,118.61,Semporna,Sabah,Semporna Archipelago
Seri Buat,2.6833,104.1333,Rompin,Pahang,Tioman Marine Park Buffer
Sibu,2.2167,104.0667,Mersing,Johor,Mersing Marine Park
Sibu & Tinggi,2.25,104.1,Mersing,Johor,Mersing Marine Park
Singa,6.1833,99.75,Langkawi,Kedah,Pulau Singa Besar (Langkawi)
Sipadan,4.1147,118.6289,Semporna,Sabah,Sipadan Island Park
Southern Semporna,4.3,118.65,Semporna,Sabah,Semporna Archipelago
Tengah,2.47,103.96,Mersing,Johor,Mersing Marine Park
Tenggol,4.8,103.6833,Dungun,Terengganu,Terengganu Marine Park
Tiga,5.725,115.6417,Kuala Penyu,Sabah,Pulau Tiga National Park
Tinggi,2.3,104.1167,Mersing,Johor,Mersing Marine Park
Tioman,2.7833,104.1667,Rompin,Pahang,Tioman Marine Park
Tun Mustapha Park,7.1,117.15,Kudat,Sabah,Tun Mustapha Park
Tun Sakaran Marine Park,4.6,118.7833,Semporna,Sabah,Tun Sakaran Marine Park
Tunku Abdul Rahman Park,5.9667,115.9833,Kota Kinabalu,Sabah,Tunku Abdul Rahman Park
Usukan Cove,6.3833,116.4167,Kota Belud,Sabah,West Coast Sabah Coastal
