site_id,site_name,island,state,ecoregion,latitude,longitude,marine_park,synthetic_site
AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Aur & Dayang,Johor,Sunda Shelf,2.453843,104.51612,Mersing Marine Park,1
AUR_DAYANG_S02,Aur & Dayang Reef Site 02,Aur & Dayang,Johor,Sunda Shelf,2.453271,104.521122,Mersing Marine Park,1
AUR_DAYANG_S03,Aur & Dayang Reef Site 03,Aur & Dayang,Johor,Sunda Shelf,2.450849,104.524186,Mersing Marine Park,1
AUR_DAYANG_S04,Aur & Dayang Reef Site 04,Aur & Dayang,Johor,Sunda Shelf,2.444425,104.525168,Mersing Marine Park,1
AUR_DAYANG_S05,Aur & Dayang Reef Site 05,Aur & Dayang,Johor,Sunda Shelf,2.439544,104.522914,Mersing Marine Park,1
AUR_DAYANG_S06,Aur & Dayang Reef Site 06,Aur & Dayang,Johor,Sunda Shelf,2.436104,104.516109,Mersing Marine Park,1
AUR_DAYANG_S07,Aur & Dayang Reef Site 07,Aur & Dayang,Johor,Sunda Shelf,2.437963,104.50786,Mersing Marine Park,1
AUR_DAYANG_S08,Aur & Dayang Reef Site 08,Aur & Dayang,Johor,Sunda Shelf,2.444544,104.50233,Mersing Marine Park,1
AUR_DAYANG_S09,Aur & Dayang Reef Site 09,Aur & Dayang,Johor,Sunda Shelf,2.454477,104.501986,Mersing Marine Park,1
AUR_DAYANG_S10,Aur & Dayang Reef Site 10,Aur & Dayang,Johor,Sunda Shelf,2.462734,104.507741,Mersing Marine Park,1
BABI_TENGAH_S01,Babi Tengah Reef Site 01,Babi Tengah,Johor,,2.482141,103.96172,Mersing Marine Park,1
BABI_TENGAH_S02,Babi Tengah Reef Site 02,Babi Tengah,Johor,,2.481901,103.965734,Mersing Marine Park,1
BABI_TENGAH_S03,Babi Tengah Reef Site 03,Babi Tengah,Johor,,2.479558,103.969029,Mersing Marine Park,1
BABI_TENGAH_S04,Babi Tengah Reef Site 04,Babi Tengah,Johor,,2.473453,103.97044,Mersing Marine Park,1
BABI_TENGAH_S05,Babi Tengah Reef Site 05,Babi Tengah,Johor,,2.467189,103.966948,Mersing Marine Park,1
BABI_TENGAH_S06,Babi Tengah Reef Site 06,Babi Tengah,Johor,,2.464453,103.962526,Mersing Marine Park,1
BABI_TENGAH_S07,Babi Tengah Reef Site 07,Babi Tengah,Johor,,2.466375,103.952729,Mersing Marine Park,1
BABI_TENGAH_S08,Babi Tengah Reef Site 08,Babi Tengah,Johor,,2.471397,103.947778,Mersing Marine Park,1
BABI_TENGAH_S09,Babi Tengah Reef Site 09,Babi Tengah,Johor,,2.482913,103.947046,Mersing Marine Park,1
BABI_TENGAH_S10,Babi Tengah Reef Site 10,Babi Tengah,Johor,,2.489027,103.950007,Mersing Marine Park,1
BALAMBANGAN_S01,Balambangan Reef Site 01,Balambangan,Sabah,North Borneo,7.24042,116.924793,Tun Mustapha Park,1
BALAMBANGAN_S02,Balambangan Reef Site 02,Balambangan,Sabah,North Borneo,7.240309,116.928421,Tun Mustapha Park,1
BALAMBANGAN_S03,Balambangan Reef Site 03,Balambangan,Sabah,North Borneo,7.236752,116.932255,Tun Mustapha Park,1
BALAMBANGAN_S04,Balambangan Reef Site 04,Balambangan,Sabah,North Borneo,7.232056,116.933398,Tun Mustapha Park,1
BALAMBANGAN_S05,Balambangan Reef Site 05,Balambangan,Sabah,North Borneo,7.225339,116.929527,Tun Mustapha Park,1
BALAMBANGAN_S06,Balambangan Reef Site 06,Balambangan,Sabah,North Borneo,7.222726,116.924988,Tun Mustapha Park,1
BALAMBANGAN_S07,Balambangan Reef Site 07,Balambangan,Sabah,North Borneo,7.224043,116.916263,Tun Mustapha Park,1
BALAMBANGAN_S08,Balambangan Reef Site 08,Balambangan,Sabah,North Borneo,7.23097,116.910075,Tun Mustapha Park,1
BALAMBANGAN_S09,Balambangan Reef Site 09,Balambangan,Sabah,North Borneo,7.239263,116.909004,Tun Mustapha Park,1
BALAMBANGAN_S10,Balambangan Reef Site 10,Balambangan,Sabah,North Borneo,7.248811,116.914644,Tun Mustapha Park,1
BERUNGUS_S01,Berungus Reef Site 01,Berungus,Sabah,North Borneo,6.958829,117.035189,Tun Mustapha Park,1
BERUNGUS_S02,Berungus Reef Site 02,Berungus,Sabah,North Borneo,6.958526,117.039156,Tun Mustapha Park,1
BERUNGUS_S03,Berungus Reef Site 03,Berungus,Sabah,North Borneo,6.956087,117.042447,Tun Mustapha Park,1
BERUNGUS_S04,Berungus Reef Site 04,Berungus,Sabah,North Borneo,6.949261,117.043454,Tun Mustapha Park,1
BERUNGUS_S05,Berungus Reef Site 05,Berungus,Sabah,North Borneo,6.944227,117.040813,Tun Mustapha Park,1
BERUNGUS_S06,Berungus Reef Site 06,Berungus,Sabah,North Borneo,6.941118,117.034037,Tun Mustapha Park,1
BERUNGUS_S07,Berungus Reef Site 07,Berungus,Sabah,North Borneo,6.94303,117.026025,Tun Mustapha Park,1
BERUNGUS_S08,Berungus Reef Site 08,Berungus,Sabah,North Borneo,6.949557,117.020535,Tun Mustapha Park,1
BERUNGUS_S09,Berungus Reef Site 09,Berungus,Sabah,North Borneo,6.95676,117.019268,Tun Mustapha Park,1
BERUNGUS_S10,Berungus Reef Site 10,Berungus,Sabah,North Borneo,6.96616,117.023736,Tun Mustapha Park,1
BESAR_S01,Besar Reef Site 01,Besar,Johor,Sunda Shelf,2.439035,103.967111,Mersing Marine Park,1
BESAR_S02,Besar Reef Site 02,Besar,Johor,Sunda Shelf,2.439286,103.970331,Mersing Marine Park,1
BESAR_S03,Besar Reef Site 03,Besar,Johor,Sunda Shelf,2.436649,103.974246,Mersing Marine Park,1
BESAR_S04,Besar Reef Site 04,Besar,Johor,Sunda Shelf,2.429936,103.975593,Mersing Marine Park,1
BESAR_S05,Besar Reef Site 05,Besar,Johor,Sunda Shelf,2.424736,103.973203,Mersing Marine Park,1
BESAR_S06,Besar Reef Site 06,Besar,Johor,Sunda Shelf,2.421312,103.966153,Mersing Marine Park,1
BESAR_S07,Besar Reef Site 07,Besar,Johor,Sunda Shelf,2.42344,103.957841,Mersing Marine Park,1
BESAR_S08,Besar Reef Site 08,Besar,Johor,Sunda Shelf,2.429678,103.952647,Mersing Marine Park,1
BESAR_S09,Besar Reef Site 09,Besar,Johor,Sunda Shelf,2.437683,103.951559,Mersing Marine Park,1
BESAR_S10,Besar Reef Site 10,Besar,Johor,Sunda Shelf,2.446834,103.956403,Mersing Marine Park,1
BIDONG_YU_S01,Bidong & Yu Reef Site 01,Bidong & Yu,Terengganu,Sunda Shelf,5.622411,103.050671,Terengganu Marine Park,1
BIDONG_YU_S02,Bidong & Yu Reef Site 02,Bidong & Yu,Terengganu,Sunda Shelf,5.622339,103.054168,Terengganu Marine Park,1
BIDONG_YU_S03,Bidong & Yu Reef Site 03,Bidong & Yu,Terengganu,Sunda Shelf,5.619291,103.05787,Terengganu Marine Park,1
BIDONG_YU_S04,Bidong & Yu Reef Site 04,Bidong & Yu,Terengganu,Sunda Shelf,5.614855,103.059364,Terengganu Marine Park,1
BIDONG_YU_S05,Bidong & Yu Reef Site 05,Bidong & Yu,Terengganu,Sunda Shelf,5.608436,103.056909,Terengganu Marine Park,1
BIDONG_YU_S06,Bidong & Yu Reef Site 06,Bidong & Yu,Terengganu,Sunda Shelf,5.604737,103.049054,Terengganu Marine Park,1
BIDONG_YU_S07,Bidong & Yu Reef Site 07,Bidong & Yu,Terengganu,Sunda Shelf,5.605169,103.043442,Terengganu Marine Park,1
BIDONG_YU_S08,Bidong & Yu Reef Site 08,Bidong & Yu,Terengganu,Sunda Shelf,5.6107,103.036736,Terengganu Marine Park,1
BIDONG_YU_S09,Bidong & Yu Reef Site 09,Bidong & Yu,Terengganu,Sunda Shelf,5.622491,103.035283,Terengganu Marine Park,1
BIDONG_YU_S10,Bidong & Yu Reef Site 10,Bidong & Yu,Terengganu,Sunda Shelf,5.631085,103.040897,Terengganu Marine Park,1
GUAL_S01,Gual Reef Site 01,Gual,Johor,Sunda Shelf,2.47762,104.016109,Mersing Marine Park,1
GUAL_S02,Gual Reef Site 02,Gual,Johor,Sunda Shelf,2.477588,104.020783,Mersing Marine Park,1
GUAL_S03,Gual Reef Site 03,Gual,Johor,Sunda Shelf,2.474925,104.024383,Mersing Marine Park,1
GUAL_S04,Gual Reef Site 04,Gual,Johor,Sunda Shelf,2.469085,104.025782,Mersing Marine Park,1
GUAL_S05,Gual Reef Site 05,Gual,Johor,Sunda Shelf,2.463447,104.023348,Mersing Marine Park,1
GUAL_S06,Gual Reef Site 06,Gual,Johor,Sunda Shelf,2.459928,104.015873,Mersing Marine Park,1
GUAL_S07,Gual Reef Site 07,Gual,Johor,Sunda Shelf,2.461114,104.008997,Mersing Marine Park,1
GUAL_S08,Gual Reef Site 08,Gual,Johor,Sunda Shelf,2.466072,104.00341,Mersing Marine Park,1
GUAL_S09,Gual Reef Site 09,Gual,Johor,Sunda Shelf,2.475654,104.00139,Mersing Marine Park,1
GUAL_S10,Gual Reef Site 10,Gual,Johor,Sunda Shelf,2.48569,104.006749,Mersing Marine Park,1
HARIMAU_S01,Harimau Reef Site 01,Harimau,Johor,Sunda Shelf,2.51404,103.931356,Mersing Marine Park,1
HARIMAU_S02,Harimau Reef Site 02,Harimau,Johor,Sunda Shelf,2.514257,103.93538,Mersing Marine Park,1
HARIMAU_S03,Harimau Reef Site 03,Harimau,Johor,Sunda Shelf,2.511326,103.939382,Mersing Marine Park,1
