island,state,resort_count,estimated_room_capacity,dive_center_count,has_commercial_jetty,data_source
Aur & Dayang,Johor,5,60,3,1,"Johor National Parks & MOTAC Accommodation Directory"
Babi Tengah,Johor,1,22,1,1,"Batu Batu Eco-Resort Registry / Johor Parks"
Balambangan,Sabah,0,0,0,0,"Tun Mustapha Park Conservation Zoning (Uninhabited/Settlement)"
Berungus,Sabah,0,0,0,0,"Tun Mustapha Park Community Zone (No Commercial Resorts)"
Besar,Johor,4,120,2,1,"MOTAC Registered Chalets (Aseania, Bayu Lestari)"
Bidong & Yu,Terengganu,0,0,0,1,"UMT Marine Research Station (Zero Commercial Tourism)"
Gual,Johor,0,0,0,0,"Mersing Marine Park Sanctuary Islet (Uninhabited)"
Harimau,Johor,0,0,0,0,"Mersing Marine Park Sanctuary Islet (Uninhabited)"
Hujung,Johor,0,0,0,0,"Mersing Marine Park Sanctuary Islet (Uninhabited)"
Kapalai,Sabah,1,60,1,1,"Sipadan-Kapalai Dive Resort Registry"
Kapas,Terengganu,6,90,3,1,"Terengganu Tourism Directory (Kapas Island Resort, Turtle Valley)"
Kota Belud,Sabah,3,50,2,1,"Sabah Tourism Board Coastal Operator Listing"
Kuching,Sarawak,0,0,0,0,"Talang-Satang National Park (Strict Turtle Sanctuary)"
Labuan,Sabah,12,850,4,1,"Federal Territory Labuan Hotel Registry (MOTAC)"
Lahad Datu,Sabah,2,40,2,1,"Darvel Bay Eco-Tourism Directory"
Lang Tengah,Terengganu,4,210,4,1,"MOTAC Registered Resorts (Summer Bay, Sari Pacifica)"
Lankayan,Sabah,1,25,1,1,"SIMCA Marine Protected Area Eco-Resort Registry"
Larapan,Sabah,0,0,0,0,"Tun Sakaran Marine Park Community Island (Zero Resorts)"
Lima,Johor,0,0,0,0,"Mersing Marine Park Sanctuary Islet (Uninhabited)"
Mabul,Sabah,8,350,8,1,"Sabah Tourism Board & Semporna Municipal Council"
Malacca,Malacca,1,30,1,1,"Melaka Islands Marine Park Development Unit"
Maliangin,Sabah,0,0,0,0,"Tun Mustapha Park Community Reserve (Zero Resorts)"
Mantanani,Sabah,5,140,4,1,"Sabah Tourism Board (Sutera at Mantanani, Palm Beach)"
Mataking,Sabah,1,70,1,1,"The Reef Dive Resort Operator Registry"
Mataking & Pom Pom,Sabah,3,125,3,1,"Semporna Reef Island Resort Cluster"
Mensirip,Johor,0,0,0,0,"Sultan Iskandar Marine Park Sanctuary Islet (Uninhabited)"
Mertang,Johor,0,0,0,0,"Mersing Marine Park Sanctuary Islet (Uninhabited)"
Miri,Sarawak,20,1500,5,1,"Sarawak Tourism Board Miri Coastal Hotel Registry"
Northern Semporna,Sabah,0,0,0,1,"Tun Sakaran Marine Park Day-Trip Zone (Zero Commercial Resorts)"
Pangkor Laut,Perak,1,140,1,1,"YTL Luxury Resort Registry (Pangkor Laut Resort)"
Payar,Kedah,0,0,0,1,"Pulau Payar Marine Park Regulations (Strictly Day-Trip Sanctuary)"
Pemanggil,Johor,3,40,1,1,"MOTAC Mersing Island Homestay/Chalet Registry"
Penyu,Sabah,1,20,0,1,"Turtle Islands National Park Visitor Quota Log (Capped at 50/day)"
Perhentian,Terengganu,45,1200,22,1,"Terengganu Tourism & Besut Municipal Council (Perhentian Kecil/Besar)"
Pom Pom,Sabah,2,55,2,1,"Pom Pom Island Resort Operator Listing"
Port Dickson,Negeri Sembilan,25,2000,2,1,"Negeri Sembilan Coastal Hotel Registry (MOTAC)"
Rawa,Johor,2,85,2,1,"Rawa Island Resort & Alangs Rawa Registry"
Redang,Terengganu,16,1350,14,1,"Terengganu Tourism Directory (The Taaras, Laguna Redang)"
Rhu,Terengganu,0,0,0,0,"Terengganu Marine Sanctuary Islet (Uninhabited)"
Sembilan,Perak,0,0,0,0,"Perak State Parks Corporation (Zero Lodging; Overnight Ban since 2017)"
Semporna,Sabah,35,1100,30,1,"Semporna Tourism Association Coastal Hotel Inventory"
Seri Buat,Pahang,0,0,0,0,"Pahang Marine Sanctuary Islet (Uninhabited)"
Sibu,Johor,4,110,3,1,"Johor Parks Chalet Inventory (Sari Pacifica, Rimba Resort)"
Sibu & Tinggi,Johor,6,145,4,1,"Johor East Coast Marine Islands Cluster"
Singa,Kedah,0,0,0,1,"Langkawi Development Authority Wildlife Sanctuary (Day-Trip Only)"
Sipadan,Sabah,0,0,0,1,"Sabah Parks Sipadan Conservation Mandate (Cabinet Ban on Resorts since 2004)"
Southern Semporna,Sabah,4,60,3,1,"Semporna Outer Coral Buffer Homestay Registry"
Tengah,Johor,1,22,1,1,"Batu Batu Eco-Resort Registry / Johor Parks"
Tenggol,Terengganu,3,55,3,1,"Terengganu Marine Park Dive Resort Registry (Tenggol Coral Beach)"
Tiga,Sabah,2,45,1,1,"Pulau Tiga National Park Lodge Inventory"
Tinggi,Johor,2,35,1,1,"Johor Tourism Board Mersing Islands Registry"
Tioman,Pahang,38,1600,18,1,"Tioman Development Authority (Berjaya Tioman, Paya Beach, Salang)"
Tun Mustapha Park,Sabah,5,40,2,1,"Kudat Community Eco-Tourism Network"
Tun Sakaran Marine Park,Sabah,0,0,0,1,"Sabah Parks Marine Protection Zoning (Day-Trip Only)"
Tunku Abdul Rahman Park,Sabah,3,240,4,1,"Sabah Parks Island Concessions (Gaya Island Resort, Manukan Resort)"
Usukan Cove,Sabah,1,20,1,1,"Sabah Tourism Board Coastal Dive Lodge Listing"
