survey_year,island,site_id,site_name,state,ecoregion,n_sites,live_coral_cover_pct,lcc_prev,years_since_prev,lcc_change,lcc_change_rate,region_avg_lcc_pct,island_vs_region_pct,grp_other,grp_available_substrate,grp_sand,grp_disturbance_indicators,grp_pollution_indicators,fish_butterflyfish,fish_snapper,fish_parrotfish,fish_grouper,fish_sweetlips,fish_moray_eel,inv_diadema_urchin,inv_sea_cucumber,inv_giant_clam,inv_crown_of_thorns,cot_outbreak,grazer_ratio,n_highvalue_fish_absent,n_curio_inverts_absent,impact_anchor,impact_nets,impact_trash,impact_bleaching,impact_cot,confidence,substrate6_source,fish_source,n_sites_source
2012,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,42.8584,,,,,51.9699,-7.6845,0.3492,25.1418,6.0705,16.0363,9.5438,2.2008,0.277,1.8134,0.6901,0.1467,0.0635,0.881,5.2688,1.709,0.4851,1,5.0263,2,3,0,0,1,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2013,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,37.0971,42.8584,1,-5.7613,-5.7613,51.5112,-12.7537,0.3233,24.4588,7.2645,17.8287,13.0277,2.6944,0.3004,4.2274,0.7756,0.3366,0.0529,0.4697,8.5493,1.2887,0.468,1,26.8657,2,3,0,0,1,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2014,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,35.8756,37.0971,1,-1.2215,-1.2215,52.0935,-15.5819,0.4664,25.7528,9.9324,14.0346,13.9382,2.5554,0.2216,4.6438,0.7468,0.1663,0.0605,0.9605,4.1515,0.8661,0.5202,1,56.5261,3,3,0,0,1,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2015,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,38.1714,35.8756,1,2.2958,2.2958,51.7327,-13.4642,0.7581,25.1391,9.8639,14.5945,11.4731,2.6905,0.3228,4.318,0.854,0.1199,0.1097,0.5666,4.8636,1.1747,0.4044,1,31.1867,2,3,1,1,1,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2017,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,36.4307,38.1714,2,-1.7407,-0.8703,52.0881,-14.3106,0.4158,30.4872,7.815,15.3203,9.5311,2.4639,0.3725,4.4534,0.4914,0.1571,0.1387,0.7211,5.1393,1.2982,0.3943,1,17.4891,3,3,0,0,0,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2018,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,34.0421,36.4307,1,-2.3886,-2.3886,51.8378,-14.7398,0.568,32.7949,7.0953,13.4869,12.0128,3.0448,0.3384,4.1366,0.8318,0.2618,0.0791,0.4806,7.3479,1.0901,0.4559,1,38.4994,2,3,1,0,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2019,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,34.9129,34.0421,1,0.8708,0.8708,52.9643,-15.0220,0.4641,27.354,8.1517,19.3782,9.7391,3.0427,0.3143,4.7975,0.8776,0.1902,0.0615,0.6793,5.5047,1.256,0.5848,1,26.4457,2,3,0,1,0,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2020,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,36.5986,34.9129,1,1.6857,1.6857,52.6804,-14.7300,0.4713,27.9281,7.2519,15.3398,12.4102,2.4059,0.2421,4.1288,0.7084,0.1463,0.0955,0.3889,5.6937,1.2402,0.5325,1,28.6761,2,3,0,1,0,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2021,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,33.6969,36.5986,1,-2.9017,-2.9017,51.7237,-14.7039,0.513,26.9603,9.7816,17.5796,11.4686,2.7484,0.3263,3.3689,0.7724,0.2138,0.0907,0.8829,5.358,1.4926,0.382,1,22.1652,2,3,1,1,0,1,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
2022,Aur & Dayang,AUR_DAYANG_S01,Aur & Dayang Reef Site 01,Johor,Sunda Shelf,1,37.2965,33.6969,1,3.5996,3.5996,51.6032,-11.7412,0.4491,27.8832,7.4643,16.2111,10.6957,2.7879,0.3966,3.0174,0.8585,0.1221,0.0647,0.554,4.722,1.3879,0.4945,1,21.7913,2,2,0,1,1,0,1,synthetic_site_panel,synthetic_site_disaggregation,synthetic_site_disaggregation,synthetic_site_panel
