state,year,domestic_visitors,foreign_visitors,total_visitors
Johor,2000,44824,18402,63226
Johor,2001,27963,11985,39948
Johor,2002,27235,11673,38908
Johor,2003,10016,4368,14384
Johor,2004,24444,8645,33089
Johor,2005,32440,12421,44861
Johor,2006,41210,15123,56333
Johor,2007,51558,15098,66656
Johor,2008,41199,27465,68664
Johor,2009,38025,25349,63374
Johor,2010,35839,23892,59731
Johor,2011,40185,26788,66973
Johor,2012,49452,32968,82420
Johor,2013,116753,68788,185541
Johor,2014,158104,77406,235510
Johor,2015,153842,80906,234748
Johor,2016,137921,78000,215921
Johor,2017,106362,65588,171950
Kedah,2000,19944,86836,106780
Kedah,2001,38027,89514,127541
Kedah,2002,56259,77516,133775
Kedah,2003,44291,70393,114684
Kedah,2004,36282,98990,135272
Kedah,2005,19607,74492,94099
Kedah,2006,26043,86605,112648
Kedah,2007,24580,86049,110629
Kedah,2008,23298,72773,96071
Kedah,2009,25454,77412,102866
Kedah,2010,26429,69668,96097
Kedah,2011,25410,72162,97572
Kedah,2012,38294,80402,118696
Kedah,2013,43933,95907,139840
Kedah,2014,40159,82716,122875
Kedah,2015,35275,76475,111750
Kedah,2016,33702,91730,125432
Kedah,2017,28594,82129,110723
Labuan,2000,0,0,0
Labuan,2001,0,0,0
Labuan,2002,0,0,0
Labuan,2003,0,0,0
Labuan,2004,0,0,0
Labuan,2005,0,0,0
Labuan,2006,0,0,0
Labuan,2007,0,0,0
Labuan,2008,0,0,0
Labuan,2009,0,0,0
Labuan,2010,0,0,0
Labuan,2011,0,0,0
Labuan,2012,0,0,0
Labuan,2013,0,0,0
Labuan,2014,0,0,0
Labuan,2015,0,0,0
Labuan,2016,725,466,1191
Labuan,2017,441,751,1192
Pahang,2000,72383,128206,200589
Pahang,2001,127675,115377,243052
Pahang,2002,127675,100925,228600
Pahang,2003,128676,44111,172787
Pahang,2004,184238,64787,249025
Pahang,2005,77570,90191,167761
Pahang,2006,104602,111334,215936
Pahang,2007,73688,75312,149000
Pahang,2008,124673,67256,191929
Pahang,2009,105867,88525,194392
Pahang,2010,170580,63343,233923
Pahang,2011,121660,91020,212680
Pahang,2012,146587,67890,214477
Pahang,2013,163103,68999,232102
Pahang,2014,170104,70553,240657
Pahang,2015,164027,67211,231238
Pahang,2016,187584,61716,249300
Pahang,2017,66460,23720,90180
Terengganu,2000,43390,9244,52634
Terengganu,2001,65539,8041,73580
Terengganu,2002,56263,8041,64304
Terengganu,2003,71654,7563,79217
Terengganu,2004,111225,31251,142476
Terengganu,2005,98863,24296,123159
Terengganu,2006,93546,41552,135098
Terengganu,2007,112844,38553,151397
Terengganu,2008,129532,22292,151824
Terengganu,2009,99434,70692,170126
Terengganu,2010,130174,86230,216404
Terengganu,2011,109331,98378,207709
Terengganu,2012,115738,95274,211012
Terengganu,2013,153190,82686,235876
Terengganu,2014,198096,63998,262094
Terengganu,2015,176651,68111,244762
Terengganu,2016,177766,93181,270947
Terengganu,2017,255352,107442,362794
