island,year,period_months,arrivals_total,arrivals_malaysian,arrivals_international,source_name,source_url,retrieved_date,notes
Bidong & Yu,2024,8,2672,,,"Terengganu State Tourism Department (state tourism director, reported 26 September 2024)",https://malaysia.news.yahoo.com/tourist-arrivals-rise-terengganu-islands-050917502.html,2026-09-15,Reported for Pulau Bidong only
Kapas,2024,8,55441,,,"Terengganu State Tourism Department (state tourism director, reported 26 September 2024)",https://malaysia.news.yahoo.com/tourist-arrivals-rise-terengganu-islands-050917502.html,2026-09-15,Reported jointly for Pulau Kapas and Pulau Gemia
Lang Tengah,2024,8,15658,,,"Terengganu State Tourism Department (state tourism director, reported 26 September 2024)",https://malaysia.news.yahoo.com/tourist-arrivals-rise-terengganu-islands-050917502.html,2026-09-15,Pulau Lang Tengah arrivals
Penyu,2024,12,10333,9205,1128,Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/turtle-islands-park,2026-09-15,Turtle Islands Park; Selingan capped at 50 visitors/night
Perhentian,2024,8,110258,,,"Terengganu State Tourism Department (state tourism director, reported 26 September 2024)",https://malaysia.news.yahoo.com/tourist-arrivals-rise-terengganu-islands-050917502.html,2026-09-15,Pulau Perhentian arrivals
Redang,2024,8,141621,,,"Terengganu State Tourism Department (state tourism director, reported 26 September 2024)",https://malaysia.news.yahoo.com/tourist-arrivals-rise-terengganu-islands-050917502.html,2026-09-15,Pulau Redang arrivals
Sipadan,2024,12,36719,32349,4370,Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/sipadan-island-park,2026-09-15,Day-trip permits only; no overnight lodging on the island
Tenggol,2024,8,3462,,,"Terengganu State Tourism Department (state tourism director, reported 26 September 2024)",https://malaysia.news.yahoo.com/tourist-arrivals-rise-terengganu-islands-050917502.html,2026-09-15,Pulau Tenggol arrivals
Tiga,2024,12,4110,3369,741,Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/pulau-tiga-park,2026-09-15,Pulau Tiga Park
Tun Sakaran Marine Park,2024,12,100369,74467,25902,Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/tun-sakaran-marine-park,2026-09-15,Park-level total
Tunku Abdul Rahman Park,2024,12,497199,371069,126130,Sabah Parks Public Data - Visitor Statistics dashboard,https://dashboard.sabahparks.org.my/dashboard/tunku-abdul-rahman-park,2026-09-15,Park-level total across the five park islands
