island,state,resort_count,estimated_room_capacity,dive_center_count,has_commercial_jetty,data_source
Aur & Dayang,Johor,5,59,3,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Babi Tengah,Johor,1,22,1,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Balambangan,Sabah,0,1,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Berungus,Sabah,0,0,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Besar,Johor,4,121,2,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Bidong & Yu,Terengganu,0,1,0,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Gual,Johor,0,0,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Harimau,Johor,0,2,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Hujung,Johor,0,0,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Kapalai,Sabah,1,60,1,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Kapas,Terengganu,6,91,3,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Kota Belud,Sabah,3,52,2,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Kuching,Sarawak,0,0,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Labuan,W.P. Labuan,12,848,4,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Lahad Datu,Sabah,2,40,2,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Lang Tengah,Terengganu,4,208,4,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Lankayan,Sabah,1,25,1,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Larapan,Sabah,0,0,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Lima,Johor,0,0,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Mabul,Sabah,8,357,8,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Malacca,Malacca,1,28,1,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Maliangin,Sabah,0,0,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Mantanani,Sabah,5,141,4,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Mataking,Sabah,1,71,1,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Mataking & Pom Pom,Sabah,3,125,3,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Mensirip,Johor,0,0,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Mertang,Johor,0,1,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Miri,Sarawak,20,1502,5,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Northern Semporna,Sabah,0,0,0,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Pangkor Laut,Perak,1,140,1,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Payar,Kedah,0,0,0,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Pemanggil,Johor,3,40,1,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Penyu,Sabah,1,20,0,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Perhentian,Terengganu,45,1218,22,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Pom Pom,Sabah,2,54,2,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Port Dickson,Negeri Sembilan,25,2029,2,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Rawa,Johor,2,85,2,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Redang,Terengganu,16,1353,14,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Rhu,Terengganu,0,0,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Sembilan,Perak,0,0,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Semporna,Sabah,35,1100,30,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Seri Buat,Pahang,0,0,0,0,Synthetic regeneration aligned to reef_synthetic_14087.csv
Sibu,Johor,4,111,3,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Sibu & Tinggi,Johor,6,143,4,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Singa,Kedah,0,0,0,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Sipadan,Sabah,0,0,0,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Southern Semporna,Sabah,4,61,3,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Tengah,Johor,1,22,1,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Tenggol,Terengganu,3,55,3,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Tiga,Sabah,2,44,1,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Tinggi,Johor,2,35,1,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Tioman,Pahang,38,1597,18,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Tun Mustapha Park,Sabah,5,41,2,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Tun Sakaran Marine Park,Sabah,0,0,0,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Tunku Abdul Rahman Park,Sabah,3,242,4,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
Usukan Cove,Sabah,1,21,1,1,Synthetic regeneration aligned to reef_synthetic_14087.csv
